"institution","rank","source","field","dollars"
"All institutions",NA,"State and local government","all r d expenditures",5437566000
"All institutions",NA,"State and local government","computer and information sciences",92811000
"All institutions",NA,"State and local government","geosciences atmospheric sciences and ocean sciences",256518000
"All institutions",NA,"State and local government","life sciences",3161287000
"All institutions",NA,"State and local government","mathematics and statistics",30663000
"All institutions",NA,"State and local government","physical sciences",129636000
"All institutions",NA,"State and local government","psychology",59755000
"All institutions",NA,"State and local government","social sciences",208838000
"All institutions",NA,"State and local government","sciences nec",59917000
"All institutions",NA,"State and local government","engineering",961129000
"All institutions",NA,"State and local government","all non s e fields",477012000
"U. Texas M. D. Anderson Cancer Center",1,"State and local government","all r d expenditures",300907000
"U. Texas M. D. Anderson Cancer Center",1,"State and local government","computer and information sciences",0
"U. Texas M. D. Anderson Cancer Center",1,"State and local government","geosciences atmospheric sciences and ocean sciences",0
"U. Texas M. D. Anderson Cancer Center",1,"State and local government","life sciences",279390000
"U. Texas M. D. Anderson Cancer Center",1,"State and local government","mathematics and statistics",8789000
"U. Texas M. D. Anderson Cancer Center",1,"State and local government","physical sciences",3337000
"U. Texas M. D. Anderson Cancer Center",1,"State and local government","psychology",3926000
"U. Texas M. D. Anderson Cancer Center",1,"State and local government","social sciences",5465000
"U. Texas M. D. Anderson Cancer Center",1,"State and local government","sciences nec",0
"U. Texas M. D. Anderson Cancer Center",1,"State and local government","engineering",0
"U. Texas M. D. Anderson Cancer Center",1,"State and local government","all non s e fields",0
"Texas A&M U., College Station and Health Science Center",2,"State and local government","all r d expenditures",251300000
"Texas A&M U., College Station and Health Science Center",2,"State and local government","computer and information sciences",3867000
"Texas A&M U., College Station and Health Science Center",2,"State and local government","geosciences atmospheric sciences and ocean sciences",4751000
"Texas A&M U., College Station and Health Science Center",2,"State and local government","life sciences",108777000
"Texas A&M U., College Station and Health Science Center",2,"State and local government","mathematics and statistics",271000
"Texas A&M U., College Station and Health Science Center",2,"State and local government","physical sciences",4961000
"Texas A&M U., College Station and Health Science Center",2,"State and local government","psychology",679000
"Texas A&M U., College Station and Health Science Center",2,"State and local government","social sciences",4868000
"Texas A&M U., College Station and Health Science Center",2,"State and local government","sciences nec",1621000
"Texas A&M U., College Station and Health Science Center",2,"State and local government","engineering",107485000
"Texas A&M U., College Station and Health Science Center",2,"State and local government","all non s e fields",14020000
"U. Florida",3,"State and local government","all r d expenditures",193910000
"U. Florida",3,"State and local government","computer and information sciences",569000
"U. Florida",3,"State and local government","geosciences atmospheric sciences and ocean sciences",4104000
"U. Florida",3,"State and local government","life sciences",146844000
"U. Florida",3,"State and local government","mathematics and statistics",255000
"U. Florida",3,"State and local government","physical sciences",1841000
"U. Florida",3,"State and local government","psychology",1090000
"U. Florida",3,"State and local government","social sciences",4193000
"U. Florida",3,"State and local government","sciences nec",46000
"U. Florida",3,"State and local government","engineering",26871000
"U. Florida",3,"State and local government","all non s e fields",8097000
"North Carolina State U.",4,"State and local government","all r d expenditures",134547000
"North Carolina State U.",4,"State and local government","computer and information sciences",2866000
"North Carolina State U.",4,"State and local government","geosciences atmospheric sciences and ocean sciences",8698000
"North Carolina State U.",4,"State and local government","life sciences",75900000
"North Carolina State U.",4,"State and local government","mathematics and statistics",2319000
"North Carolina State U.",4,"State and local government","physical sciences",4281000
"North Carolina State U.",4,"State and local government","psychology",145000
"North Carolina State U.",4,"State and local government","social sciences",2261000
"North Carolina State U.",4,"State and local government","sciences nec",1547000
"North Carolina State U.",4,"State and local government","engineering",33890000
"North Carolina State U.",4,"State and local government","all non s e fields",2640000
"Georgia Institute of Technology",5,"State and local government","all r d expenditures",128291000
"Georgia Institute of Technology",5,"State and local government","computer and information sciences",2492000
"Georgia Institute of Technology",5,"State and local government","geosciences atmospheric sciences and ocean sciences",4074000
"Georgia Institute of Technology",5,"State and local government","life sciences",11069000
"Georgia Institute of Technology",5,"State and local government","mathematics and statistics",4302000
"Georgia Institute of Technology",5,"State and local government","physical sciences",12193000
"Georgia Institute of Technology",5,"State and local government","psychology",1829000
"Georgia Institute of Technology",5,"State and local government","social sciences",738000
"Georgia Institute of Technology",5,"State and local government","sciences nec",0
"Georgia Institute of Technology",5,"State and local government","engineering",87306000
"Georgia Institute of Technology",5,"State and local government","all non s e fields",4288000
"U. Wisconsin-Madison",6,"State and local government","all r d expenditures",125524000
"U. Wisconsin-Madison",6,"State and local government","computer and information sciences",1297000
"U. Wisconsin-Madison",6,"State and local government","geosciences atmospheric sciences and ocean sciences",6781000
"U. Wisconsin-Madison",6,"State and local government","life sciences",79724000
"U. Wisconsin-Madison",6,"State and local government","mathematics and statistics",347000
"U. Wisconsin-Madison",6,"State and local government","physical sciences",3628000
"U. Wisconsin-Madison",6,"State and local government","psychology",877000
"U. Wisconsin-Madison",6,"State and local government","social sciences",7680000
"U. Wisconsin-Madison",6,"State and local government","sciences nec",4215000
"U. Wisconsin-Madison",6,"State and local government","engineering",9973000
"U. Wisconsin-Madison",6,"State and local government","all non s e fields",11002000
"Rutgers, State U. New Jersey, New Brunswick",7,"State and local government","all r d expenditures",117514000
"Rutgers, State U. New Jersey, New Brunswick",7,"State and local government","computer and information sciences",0
"Rutgers, State U. New Jersey, New Brunswick",7,"State and local government","geosciences atmospheric sciences and ocean sciences",4337000
"Rutgers, State U. New Jersey, New Brunswick",7,"State and local government","life sciences",96883000
"Rutgers, State U. New Jersey, New Brunswick",7,"State and local government","mathematics and statistics",0
"Rutgers, State U. New Jersey, New Brunswick",7,"State and local government","physical sciences",83000
"Rutgers, State U. New Jersey, New Brunswick",7,"State and local government","psychology",1603000
"Rutgers, State U. New Jersey, New Brunswick",7,"State and local government","social sciences",1286000
"Rutgers, State U. New Jersey, New Brunswick",7,"State and local government","sciences nec",0
"Rutgers, State U. New Jersey, New Brunswick",7,"State and local government","engineering",5880000
"Rutgers, State U. New Jersey, New Brunswick",7,"State and local government","all non s e fields",7442000
"U. California, Los Angeles",8,"State and local government","all r d expenditures",105632000
"U. California, Los Angeles",8,"State and local government","computer and information sciences",0
"U. California, Los Angeles",8,"State and local government","geosciences atmospheric sciences and ocean sciences",1797000
"U. California, Los Angeles",8,"State and local government","life sciences",83304000
"U. California, Los Angeles",8,"State and local government","mathematics and statistics",49000
"U. California, Los Angeles",8,"State and local government","physical sciences",174000
"U. California, Los Angeles",8,"State and local government","psychology",176000
"U. California, Los Angeles",8,"State and local government","social sciences",7603000
"U. California, Los Angeles",8,"State and local government","sciences nec",1001000
"U. California, Los Angeles",8,"State and local government","engineering",5070000
"U. California, Los Angeles",8,"State and local government","all non s e fields",6458000
"Arizona State U.",9,"State and local government","all r d expenditures",102208000
"Arizona State U.",9,"State and local government","computer and information sciences",3402000
"Arizona State U.",9,"State and local government","geosciences atmospheric sciences and ocean sciences",2043000
"Arizona State U.",9,"State and local government","life sciences",15949000
"Arizona State U.",9,"State and local government","mathematics and statistics",91000
"Arizona State U.",9,"State and local government","physical sciences",1752000
"Arizona State U.",9,"State and local government","psychology",466000
"Arizona State U.",9,"State and local government","social sciences",4757000
"Arizona State U.",9,"State and local government","sciences nec",5355000
"Arizona State U.",9,"State and local government","engineering",50387000
"Arizona State U.",9,"State and local government","all non s e fields",18006000
"U. Texas Southwestern Medical Center",10,"State and local government","all r d expenditures",95710000
"U. Texas Southwestern Medical Center",10,"State and local government","computer and information sciences",0
"U. Texas Southwestern Medical Center",10,"State and local government","geosciences atmospheric sciences and ocean sciences",0
"U. Texas Southwestern Medical Center",10,"State and local government","life sciences",95710000
"U. Texas Southwestern Medical Center",10,"State and local government","mathematics and statistics",0
"U. Texas Southwestern Medical Center",10,"State and local government","physical sciences",0
"U. Texas Southwestern Medical Center",10,"State and local government","psychology",0
"U. Texas Southwestern Medical Center",10,"State and local government","social sciences",0
"U. Texas Southwestern Medical Center",10,"State and local government","sciences nec",0
"U. Texas Southwestern Medical Center",10,"State and local government","engineering",0
"U. Texas Southwestern Medical Center",10,"State and local government","all non s e fields",0
"Cornell U.",11,"State and local government","all r d expenditures",95202000
"Cornell U.",11,"State and local government","computer and information sciences",57000
"Cornell U.",11,"State and local government","geosciences atmospheric sciences and ocean sciences",20000
"Cornell U.",11,"State and local government","life sciences",75771000
"Cornell U.",11,"State and local government","mathematics and statistics",119000
"Cornell U.",11,"State and local government","physical sciences",1120000
"Cornell U.",11,"State and local government","psychology",2748000
"Cornell U.",11,"State and local government","social sciences",3881000
"Cornell U.",11,"State and local government","sciences nec",0
"Cornell U.",11,"State and local government","engineering",4045000
"Cornell U.",11,"State and local government","all non s e fields",7441000
"Mississippi State U.",12,"State and local government","all r d expenditures",92674000
"Mississippi State U.",12,"State and local government","computer and information sciences",2386000
"Mississippi State U.",12,"State and local government","geosciences atmospheric sciences and ocean sciences",1569000
"Mississippi State U.",12,"State and local government","life sciences",47340000
"Mississippi State U.",12,"State and local government","mathematics and statistics",1622000
"Mississippi State U.",12,"State and local government","physical sciences",4721000
"Mississippi State U.",12,"State and local government","psychology",1392000
"Mississippi State U.",12,"State and local government","social sciences",6812000
"Mississippi State U.",12,"State and local government","sciences nec",1e+06
"Mississippi State U.",12,"State and local government","engineering",12058000
"Mississippi State U.",12,"State and local government","all non s e fields",13774000
"Virginia Polytechnic Institute and State U.",13,"State and local government","all r d expenditures",78279000
"Virginia Polytechnic Institute and State U.",13,"State and local government","computer and information sciences",5820000
"Virginia Polytechnic Institute and State U.",13,"State and local government","geosciences atmospheric sciences and ocean sciences",343000
"Virginia Polytechnic Institute and State U.",13,"State and local government","life sciences",51723000
"Virginia Polytechnic Institute and State U.",13,"State and local government","mathematics and statistics",146000
"Virginia Polytechnic Institute and State U.",13,"State and local government","physical sciences",22000
"Virginia Polytechnic Institute and State U.",13,"State and local government","psychology",0
"Virginia Polytechnic Institute and State U.",13,"State and local government","social sciences",2312000
"Virginia Polytechnic Institute and State U.",13,"State and local government","sciences nec",0
"Virginia Polytechnic Institute and State U.",13,"State and local government","engineering",17817000
"Virginia Polytechnic Institute and State U.",13,"State and local government","all non s e fields",96000
"U. California, Davis",14,"State and local government","all r d expenditures",78096000
"U. California, Davis",14,"State and local government","computer and information sciences",128000
"U. California, Davis",14,"State and local government","geosciences atmospheric sciences and ocean sciences",7745000
"U. California, Davis",14,"State and local government","life sciences",45955000
"U. California, Davis",14,"State and local government","mathematics and statistics",0
"U. California, Davis",14,"State and local government","physical sciences",529000
"U. California, Davis",14,"State and local government","psychology",1000
"U. California, Davis",14,"State and local government","social sciences",1560000
"U. California, Davis",14,"State and local government","sciences nec",4000
"U. California, Davis",14,"State and local government","engineering",21026000
"U. California, Davis",14,"State and local government","all non s e fields",1148000
"U. Minnesota, Twin Cities",15,"State and local government","all r d expenditures",76395000
"U. Minnesota, Twin Cities",15,"State and local government","computer and information sciences",222000
"U. Minnesota, Twin Cities",15,"State and local government","geosciences atmospheric sciences and ocean sciences",2397000
"U. Minnesota, Twin Cities",15,"State and local government","life sciences",55210000
"U. Minnesota, Twin Cities",15,"State and local government","mathematics and statistics",347000
"U. Minnesota, Twin Cities",15,"State and local government","physical sciences",695000
"U. Minnesota, Twin Cities",15,"State and local government","psychology",879000
"U. Minnesota, Twin Cities",15,"State and local government","social sciences",2388000
"U. Minnesota, Twin Cities",15,"State and local government","sciences nec",264000
"U. Minnesota, Twin Cities",15,"State and local government","engineering",10524000
"U. Minnesota, Twin Cities",15,"State and local government","all non s e fields",3469000
"U. Nebraska, Lincoln and Medical Centera",16,"State and local government","all r d expenditures",76042000
"U. Nebraska, Lincoln and Medical Centera",16,"State and local government","computer and information sciences",935000
"U. Nebraska, Lincoln and Medical Centera",16,"State and local government","geosciences atmospheric sciences and ocean sciences",0
"U. Nebraska, Lincoln and Medical Centera",16,"State and local government","life sciences",64120000
"U. Nebraska, Lincoln and Medical Centera",16,"State and local government","mathematics and statistics",1433000
"U. Nebraska, Lincoln and Medical Centera",16,"State and local government","physical sciences",495000
"U. Nebraska, Lincoln and Medical Centera",16,"State and local government","psychology",1254000
"U. Nebraska, Lincoln and Medical Centera",16,"State and local government","social sciences",475000
"U. Nebraska, Lincoln and Medical Centera",16,"State and local government","sciences nec",208000
"U. Nebraska, Lincoln and Medical Centera",16,"State and local government","engineering",5839000
"U. Nebraska, Lincoln and Medical Centera",16,"State and local government","all non s e fields",1283000
"Louisiana State U., Baton Rouge",17,"State and local government","all r d expenditures",73829000
"Louisiana State U., Baton Rouge",17,"State and local government","computer and information sciences",2497000
"Louisiana State U., Baton Rouge",17,"State and local government","geosciences atmospheric sciences and ocean sciences",1762000
"Louisiana State U., Baton Rouge",17,"State and local government","life sciences",53662000
"Louisiana State U., Baton Rouge",17,"State and local government","mathematics and statistics",689000
"Louisiana State U., Baton Rouge",17,"State and local government","physical sciences",985000
"Louisiana State U., Baton Rouge",17,"State and local government","psychology",95000
"Louisiana State U., Baton Rouge",17,"State and local government","social sciences",2191000
"Louisiana State U., Baton Rouge",17,"State and local government","sciences nec",1000
"Louisiana State U., Baton Rouge",17,"State and local government","engineering",10500000
"Louisiana State U., Baton Rouge",17,"State and local government","all non s e fields",1447000
"U. California, San Diego",18,"State and local government","all r d expenditures",70790000
"U. California, San Diego",18,"State and local government","computer and information sciences",203000
"U. California, San Diego",18,"State and local government","geosciences atmospheric sciences and ocean sciences",23654000
"U. California, San Diego",18,"State and local government","life sciences",39327000
"U. California, San Diego",18,"State and local government","mathematics and statistics",905000
"U. California, San Diego",18,"State and local government","physical sciences",1482000
"U. California, San Diego",18,"State and local government","psychology",0
"U. California, San Diego",18,"State and local government","social sciences",764000
"U. California, San Diego",18,"State and local government","sciences nec",0
"U. California, San Diego",18,"State and local government","engineering",1686000
"U. California, San Diego",18,"State and local government","all non s e fields",2769000
"U. Missouri, Columbia",19,"State and local government","all r d expenditures",65868000
"U. Missouri, Columbia",19,"State and local government","computer and information sciences",1032000
"U. Missouri, Columbia",19,"State and local government","geosciences atmospheric sciences and ocean sciences",129000
"U. Missouri, Columbia",19,"State and local government","life sciences",49746000
"U. Missouri, Columbia",19,"State and local government","mathematics and statistics",132000
"U. Missouri, Columbia",19,"State and local government","physical sciences",2145000
"U. Missouri, Columbia",19,"State and local government","psychology",485000
"U. Missouri, Columbia",19,"State and local government","social sciences",631000
"U. Missouri, Columbia",19,"State and local government","sciences nec",504000
"U. Missouri, Columbia",19,"State and local government","engineering",3141000
"U. Missouri, Columbia",19,"State and local government","all non s e fields",7923000
"Ohio State U.",20,"State and local government","all r d expenditures",64139000
"Ohio State U.",20,"State and local government","computer and information sciences",7740000
"Ohio State U.",20,"State and local government","geosciences atmospheric sciences and ocean sciences",136000
"Ohio State U.",20,"State and local government","life sciences",36471000
"Ohio State U.",20,"State and local government","mathematics and statistics",0
"Ohio State U.",20,"State and local government","physical sciences",0
"Ohio State U.",20,"State and local government","psychology",163000
"Ohio State U.",20,"State and local government","social sciences",1181000
"Ohio State U.",20,"State and local government","sciences nec",2116000
"Ohio State U.",20,"State and local government","engineering",9267000
"Ohio State U.",20,"State and local government","all non s e fields",7065000
"U. Georgia",21,"State and local government","all r d expenditures",61887000
"U. Georgia",21,"State and local government","computer and information sciences",0
"U. Georgia",21,"State and local government","geosciences atmospheric sciences and ocean sciences",4688000
"U. Georgia",21,"State and local government","life sciences",53202000
"U. Georgia",21,"State and local government","mathematics and statistics",0
"U. Georgia",21,"State and local government","physical sciences",2000
"U. Georgia",21,"State and local government","psychology",108000
"U. Georgia",21,"State and local government","social sciences",2907000
"U. Georgia",21,"State and local government","sciences nec",0
"U. Georgia",21,"State and local government","engineering",65000
"U. Georgia",21,"State and local government","all non s e fields",915000
"U. North Carolina, Chapel Hill",22,"State and local government","all r d expenditures",61576000
"U. North Carolina, Chapel Hill",22,"State and local government","computer and information sciences",250000
"U. North Carolina, Chapel Hill",22,"State and local government","geosciences atmospheric sciences and ocean sciences",8635000
"U. North Carolina, Chapel Hill",22,"State and local government","life sciences",25354000
"U. North Carolina, Chapel Hill",22,"State and local government","mathematics and statistics",686000
"U. North Carolina, Chapel Hill",22,"State and local government","physical sciences",2402000
"U. North Carolina, Chapel Hill",22,"State and local government","psychology",3630000
"U. North Carolina, Chapel Hill",22,"State and local government","social sciences",2993000
"U. North Carolina, Chapel Hill",22,"State and local government","sciences nec",0
"U. North Carolina, Chapel Hill",22,"State and local government","engineering",10465000
"U. North Carolina, Chapel Hill",22,"State and local government","all non s e fields",7161000
"Washington State U.",23,"State and local government","all r d expenditures",61333000
"Washington State U.",23,"State and local government","computer and information sciences",86000
"Washington State U.",23,"State and local government","geosciences atmospheric sciences and ocean sciences",2184000
"Washington State U.",23,"State and local government","life sciences",35149000
"Washington State U.",23,"State and local government","mathematics and statistics",66000
"Washington State U.",23,"State and local government","physical sciences",5491000
"Washington State U.",23,"State and local government","psychology",260000
"Washington State U.",23,"State and local government","social sciences",3981000
"Washington State U.",23,"State and local government","sciences nec",110000
"Washington State U.",23,"State and local government","engineering",8923000
"Washington State U.",23,"State and local government","all non s e fields",5083000
"Oregon State U.",24,"State and local government","all r d expenditures",57839000
"Oregon State U.",24,"State and local government","computer and information sciences",0
"Oregon State U.",24,"State and local government","geosciences atmospheric sciences and ocean sciences",2194000
"Oregon State U.",24,"State and local government","life sciences",47311000
"Oregon State U.",24,"State and local government","mathematics and statistics",514000
"Oregon State U.",24,"State and local government","physical sciences",158000
"Oregon State U.",24,"State and local government","psychology",0
"Oregon State U.",24,"State and local government","social sciences",2286000
"Oregon State U.",24,"State and local government","sciences nec",43000
"Oregon State U.",24,"State and local government","engineering",5073000
"Oregon State U.",24,"State and local government","all non s e fields",260000
"U. Marylandb",25,"State and local government","all r d expenditures",57007000
"U. Marylandb",25,"State and local government","computer and information sciences",181000
"U. Marylandb",25,"State and local government","geosciences atmospheric sciences and ocean sciences",239000
"U. Marylandb",25,"State and local government","life sciences",28410000
"U. Marylandb",25,"State and local government","mathematics and statistics",10000
"U. Marylandb",25,"State and local government","physical sciences",6000
"U. Marylandb",25,"State and local government","psychology",0
"U. Marylandb",25,"State and local government","social sciences",1779000
"U. Marylandb",25,"State and local government","sciences nec",0
"U. Marylandb",25,"State and local government","engineering",20945000
"U. Marylandb",25,"State and local government","all non s e fields",5437000
"North Dakota State U.",26,"State and local government","all r d expenditures",51819000
"North Dakota State U.",26,"State and local government","computer and information sciences",17000
"North Dakota State U.",26,"State and local government","geosciences atmospheric sciences and ocean sciences",0
"North Dakota State U.",26,"State and local government","life sciences",45856000
"North Dakota State U.",26,"State and local government","mathematics and statistics",0
"North Dakota State U.",26,"State and local government","physical sciences",97000
"North Dakota State U.",26,"State and local government","psychology",0
"North Dakota State U.",26,"State and local government","social sciences",1583000
"North Dakota State U.",26,"State and local government","sciences nec",1910000
"North Dakota State U.",26,"State and local government","engineering",2172000
"North Dakota State U.",26,"State and local government","all non s e fields",184000
"Pennsylvania State U., University Park and Hershey Medical Center",27,"State and local government","all r d expenditures",49379000
"Pennsylvania State U., University Park and Hershey Medical Center",27,"State and local government","computer and information sciences",105000
"Pennsylvania State U., University Park and Hershey Medical Center",27,"State and local government","geosciences atmospheric sciences and ocean sciences",586000
"Pennsylvania State U., University Park and Hershey Medical Center",27,"State and local government","life sciences",39027000
"Pennsylvania State U., University Park and Hershey Medical Center",27,"State and local government","mathematics and statistics",24000
"Pennsylvania State U., University Park and Hershey Medical Center",27,"State and local government","physical sciences",61000
"Pennsylvania State U., University Park and Hershey Medical Center",27,"State and local government","psychology",5000
"Pennsylvania State U., University Park and Hershey Medical Center",27,"State and local government","social sciences",3354000
"Pennsylvania State U., University Park and Hershey Medical Center",27,"State and local government","sciences nec",0
"Pennsylvania State U., University Park and Hershey Medical Center",27,"State and local government","engineering",5455000
"Pennsylvania State U., University Park and Hershey Medical Center",27,"State and local government","all non s e fields",762000
"U. Texas Health Science Center, Houston",28,"State and local government","all r d expenditures",48815000
"U. Texas Health Science Center, Houston",28,"State and local government","computer and information sciences",0
"U. Texas Health Science Center, Houston",28,"State and local government","geosciences atmospheric sciences and ocean sciences",0
"U. Texas Health Science Center, Houston",28,"State and local government","life sciences",48815000
"U. Texas Health Science Center, Houston",28,"State and local government","mathematics and statistics",0
"U. Texas Health Science Center, Houston",28,"State and local government","physical sciences",0
"U. Texas Health Science Center, Houston",28,"State and local government","psychology",0
"U. Texas Health Science Center, Houston",28,"State and local government","social sciences",0
"U. Texas Health Science Center, Houston",28,"State and local government","sciences nec",0
"U. Texas Health Science Center, Houston",28,"State and local government","engineering",0
"U. Texas Health Science Center, Houston",28,"State and local government","all non s e fields",0
"U. Idaho",29,"State and local government","all r d expenditures",47894000
"U. Idaho",29,"State and local government","computer and information sciences",534000
"U. Idaho",29,"State and local government","geosciences atmospheric sciences and ocean sciences",2134000
"U. Idaho",29,"State and local government","life sciences",30581000
"U. Idaho",29,"State and local government","mathematics and statistics",711000
"U. Idaho",29,"State and local government","physical sciences",972000
"U. Idaho",29,"State and local government","psychology",292000
"U. Idaho",29,"State and local government","social sciences",1306000
"U. Idaho",29,"State and local government","sciences nec",2959000
"U. Idaho",29,"State and local government","engineering",4370000
"U. Idaho",29,"State and local government","all non s e fields",4035000
"Virginia Commonwealth U.",30,"State and local government","all r d expenditures",47846000
"Virginia Commonwealth U.",30,"State and local government","computer and information sciences",47000
"Virginia Commonwealth U.",30,"State and local government","geosciences atmospheric sciences and ocean sciences",0
"Virginia Commonwealth U.",30,"State and local government","life sciences",33163000
"Virginia Commonwealth U.",30,"State and local government","mathematics and statistics",4000
"Virginia Commonwealth U.",30,"State and local government","physical sciences",79000
"Virginia Commonwealth U.",30,"State and local government","psychology",1742000
"Virginia Commonwealth U.",30,"State and local government","social sciences",351000
"Virginia Commonwealth U.",30,"State and local government","sciences nec",0
"Virginia Commonwealth U.",30,"State and local government","engineering",4140000
"Virginia Commonwealth U.",30,"State and local government","all non s e fields",8320000
"U. California, Berkeley",31,"State and local government","all r d expenditures",47005000
"U. California, Berkeley",31,"State and local government","computer and information sciences",0
"U. California, Berkeley",31,"State and local government","geosciences atmospheric sciences and ocean sciences",79000
"U. California, Berkeley",31,"State and local government","life sciences",12156000
"U. California, Berkeley",31,"State and local government","mathematics and statistics",0
"U. California, Berkeley",31,"State and local government","physical sciences",6508000
"U. California, Berkeley",31,"State and local government","psychology",624000
"U. California, Berkeley",31,"State and local government","social sciences",3502000
"U. California, Berkeley",31,"State and local government","sciences nec",2127000
"U. California, Berkeley",31,"State and local government","engineering",16549000
"U. California, Berkeley",31,"State and local government","all non s e fields",5460000
"U. North Dakota",32,"State and local government","all r d expenditures",46885000
"U. North Dakota",32,"State and local government","computer and information sciences",132000
"U. North Dakota",32,"State and local government","geosciences atmospheric sciences and ocean sciences",422000
"U. North Dakota",32,"State and local government","life sciences",532000
"U. North Dakota",32,"State and local government","mathematics and statistics",0
"U. North Dakota",32,"State and local government","physical sciences",85000
"U. North Dakota",32,"State and local government","psychology",29000
"U. North Dakota",32,"State and local government","social sciences",40000
"U. North Dakota",32,"State and local government","sciences nec",2000
"U. North Dakota",32,"State and local government","engineering",45602000
"U. North Dakota",32,"State and local government","all non s e fields",41000
"Michigan State U.",33,"State and local government","all r d expenditures",46353000
"Michigan State U.",33,"State and local government","computer and information sciences",3000
"Michigan State U.",33,"State and local government","geosciences atmospheric sciences and ocean sciences",0
"Michigan State U.",33,"State and local government","life sciences",39480000
"Michigan State U.",33,"State and local government","mathematics and statistics",0
"Michigan State U.",33,"State and local government","physical sciences",51000
"Michigan State U.",33,"State and local government","psychology",13000
"Michigan State U.",33,"State and local government","social sciences",2327000
"Michigan State U.",33,"State and local government","sciences nec",245000
"Michigan State U.",33,"State and local government","engineering",1803000
"Michigan State U.",33,"State and local government","all non s e fields",2431000
"U. California, San Francisco",34,"State and local government","all r d expenditures",45056000
"U. California, San Francisco",34,"State and local government","computer and information sciences",0
"U. California, San Francisco",34,"State and local government","geosciences atmospheric sciences and ocean sciences",0
"U. California, San Francisco",34,"State and local government","life sciences",44566000
"U. California, San Francisco",34,"State and local government","mathematics and statistics",0
"U. California, San Francisco",34,"State and local government","physical sciences",490000
"U. California, San Francisco",34,"State and local government","psychology",0
"U. California, San Francisco",34,"State and local government","social sciences",0
"U. California, San Francisco",34,"State and local government","sciences nec",0
"U. California, San Francisco",34,"State and local government","engineering",0
"U. California, San Francisco",34,"State and local government","all non s e fields",0
"U. Kansas",35,"State and local government","all r d expenditures",44851000
"U. Kansas",35,"State and local government","computer and information sciences",0
"U. Kansas",35,"State and local government","geosciences atmospheric sciences and ocean sciences",688000
"U. Kansas",35,"State and local government","life sciences",5093000
"U. Kansas",35,"State and local government","mathematics and statistics",0
"U. Kansas",35,"State and local government","physical sciences",389000
"U. Kansas",35,"State and local government","psychology",420000
"U. Kansas",35,"State and local government","social sciences",17000
"U. Kansas",35,"State and local government","sciences nec",0
"U. Kansas",35,"State and local government","engineering",999000
"U. Kansas",35,"State and local government","all non s e fields",37245000
"Kansas State U.",36,"State and local government","all r d expenditures",43122000
"Kansas State U.",36,"State and local government","computer and information sciences",103000
"Kansas State U.",36,"State and local government","geosciences atmospheric sciences and ocean sciences",115000
"Kansas State U.",36,"State and local government","life sciences",33709000
"Kansas State U.",36,"State and local government","mathematics and statistics",314000
"Kansas State U.",36,"State and local government","physical sciences",0
"Kansas State U.",36,"State and local government","psychology",44000
"Kansas State U.",36,"State and local government","social sciences",2075000
"Kansas State U.",36,"State and local government","sciences nec",2444000
"Kansas State U.",36,"State and local government","engineering",1583000
"Kansas State U.",36,"State and local government","all non s e fields",2735000
"Purdue U., West Lafayette",37,"State and local government","all r d expenditures",42119000
"Purdue U., West Lafayette",37,"State and local government","computer and information sciences",68000
"Purdue U., West Lafayette",37,"State and local government","geosciences atmospheric sciences and ocean sciences",0
"Purdue U., West Lafayette",37,"State and local government","life sciences",17014000
"Purdue U., West Lafayette",37,"State and local government","mathematics and statistics",0
"Purdue U., West Lafayette",37,"State and local government","physical sciences",0
"Purdue U., West Lafayette",37,"State and local government","psychology",0
"Purdue U., West Lafayette",37,"State and local government","social sciences",190000
"Purdue U., West Lafayette",37,"State and local government","sciences nec",0
"Purdue U., West Lafayette",37,"State and local government","engineering",18443000
"Purdue U., West Lafayette",37,"State and local government","all non s e fields",6404000
"U. Arkansas, Fayetteville",38,"State and local government","all r d expenditures",41687000
"U. Arkansas, Fayetteville",38,"State and local government","computer and information sciences",935000
"U. Arkansas, Fayetteville",38,"State and local government","geosciences atmospheric sciences and ocean sciences",160000
"U. Arkansas, Fayetteville",38,"State and local government","life sciences",31876000
"U. Arkansas, Fayetteville",38,"State and local government","mathematics and statistics",0
"U. Arkansas, Fayetteville",38,"State and local government","physical sciences",1022000
"U. Arkansas, Fayetteville",38,"State and local government","psychology",51000
"U. Arkansas, Fayetteville",38,"State and local government","social sciences",91000
"U. Arkansas, Fayetteville",38,"State and local government","sciences nec",0
"U. Arkansas, Fayetteville",38,"State and local government","engineering",3572000
"U. Arkansas, Fayetteville",38,"State and local government","all non s e fields",3980000
"U. California, Office of the President",39,"State and local government","all r d expenditures",41345000
"U. California, Office of the President",39,"State and local government","computer and information sciences",0
"U. California, Office of the President",39,"State and local government","geosciences atmospheric sciences and ocean sciences",0
"U. California, Office of the President",39,"State and local government","life sciences",41090000
"U. California, Office of the President",39,"State and local government","mathematics and statistics",0
"U. California, Office of the President",39,"State and local government","physical sciences",0
"U. California, Office of the President",39,"State and local government","psychology",0
"U. California, Office of the President",39,"State and local government","social sciences",0
"U. California, Office of the President",39,"State and local government","sciences nec",0
"U. California, Office of the President",39,"State and local government","engineering",0
"U. California, Office of the President",39,"State and local government","all non s e fields",255000
"U. Texas, Austin",40,"State and local government","all r d expenditures",37601000
"U. Texas, Austin",40,"State and local government","computer and information sciences",276000
